InstrumentCode,InstrumentName,post_name,guid,post_date,category,post_status,post_status.1,Year,raw_category,document_type,classification_status,Migrate,Naming Convention,Folder_Name
MPCCEL,MPC CARIBBEAN CLEAN ENERGY LIMITED,mpc-caribbean-clean-energy-limited-rights-isuue-offer-extended,https://www.jamstockex.com/wp-content/uploads/2019/12/MPC-Caribbean-Clean-Energy-Limited-Rights-Isuue-Offer-Extended.pdf,24/12/2019 13:42,"Other Company News,Articles,General,Rights Issue (Circulars &amp; Documents)",inherit,publish,2019,,rights_issue,pending,Yes,company_name - symbol - rights_issue - Posting Date,rights_issue_new
MPCCEL,MPC CARIBBEAN CLEAN ENERGY LIMITED,notice_se_pp_material_change,https://www.jamstockex.com/wp-content/uploads/2025/04/Notice_SE_PP_Material_Change.pdf,3/4/2025 6:37,"Articles,Other Company News",inherit,publish,2025,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
NCBFG,NCB FINANCIAL GROUP LIMITED,ncb-financial-group-limited-announces-transaction-to-acquire-majority-stake-in-clarien-group-limited,https://www.jamstockex.com/wp-content/uploads/2017/12/NCB-Financial-Group-Limited-Announces-Transaction-to-Acquire-Majority-Stake-in-Clarien-Group-Limited.pdf,1/12/2017 12:39,"Articles,Acquisitions",inherit,publish,2017,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
NCBFG,NCB FINANCIAL GROUP LIMITED,investor-release-ncb-financial-group-limited-ncb-announces-sale-of-jmmb-group-limited-jmmbgl-shares,https://www.jamstockex.com/wp-content/uploads/2018/12/Investor-Release-NCB-Financial-Group-Limited-NCB-Announces-Sale-of-JMMB-Group-Limited-JMMBGL-Shares.pdf,27/12/2018 16:49,"Articles,Other Company News",inherit,publish,2018,,other_company_news,pending,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
NCBFG,NCB FINANCIAL GROUP LIMITED,ncb-financial-group-ncbfg-announces-leadership-changes-at-national-commercial-bank-jamaica-limited,https://www.jamstockex.com/wp-content/uploads/2019/07/NCB-Financial-Group-NCBFG-Announces-Leadership-Changes-at-National-Commercial-Bank-Jamaica-Limited.pdf,26/7/2019 17:18,"Other Company News,Articles",inherit,publish,2019,,management_appointments_resignations_and_retirements,pending,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
NCBFG,NCB FINANCIAL GROUP LIMITED,ncb-financial-group-ncbfg-announces-leadership-changes-at-national-commercial-bank-jamaica-limited,https://www.jamstockex.com/wp-content/uploads/2019/07/NCB-Financial-Group-NCBFG-Announces-Leadership-Changes-at-National-Commercial-Bank-Jamaica-Limited.pdf,26/7/2019 17:18,"Other Company News,Articles",inherit,publish,2019,,director_appointments_resignations_and_retirements,pending,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
NCBFG,NCB FINANCIAL GROUP LIMITED,ncb-financial-group-limited-ncbfg-completion-of-sale-of-advantage-general-insurance-company,https://www.jamstockex.com/wp-content/uploads/2019/09/NCB-Financial-Group-Limited-NCBFG-Completion-of-Sale-of-Advantage-General-Insurance-Company.pdf,30/9/2019 16:11,"Articles,Other Company News",inherit,publish,2019,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
NCBFG,NCB FINANCIAL GROUP LIMITED,ncbfg-release-leadership-development-at-ghl-eff-01oct2022,https://www.jamstockex.com/wp-content/uploads/2022/10/NCBFG-Release-Leadership-Development-at-GHL-eff-01Oct2022.pdf,5/10/2022 20:35,"Other Company News,Articles",inherit,publish,2022,,director_appointments_resignations_and_retirements,pending,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
NCBFG,NCB FINANCIAL GROUP LIMITED,ncbfg-release-leadership-development-at-ghl-eff-01oct2022,https://www.jamstockex.com/wp-content/uploads/2022/10/NCBFG-Release-Leadership-Development-at-GHL-eff-01Oct2022.pdf,5/10/2022 20:35,"Other Company News,Articles",inherit,publish,2022,,management_appointments_resignations_and_retirements,pending,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
PAL,PALACE AMUSEMENT CO. LTD.,the-palace-amusement-company-1921-limited-pal-notice-of-annual-general-meeting,https://www.jamstockex.com/wp-content/uploads/2019/10/The-Palace-Amusement-Company-1921-Limited-PAL-Notice-of-Annual-General-Meeting.pdf,29/10/2019 17:46,"Articles,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2019,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
