InstrumentCode,InstrumentName,post_name,guid,post_date,category,post_status,post_status.1,Year,raw_category,document_type,classification_status,Migrate,Naming Convention,Folder_Name
TTECH,TTECH LIMITED,notice-of-takeover-offer-for-ttech-shares-13-dec-2024,https://www.jamstockex.com/wp-content/uploads/2024/12/Notice-of-Takeover-Offer-for-tTech-Shares-13-Dec-2024.pdf,13/12/2024 14:06,"Articles,General,Take-over Bid Circular​",inherit,publish,2024,,takeover_bids_and_scheme_of_arrangements,pending,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
TTECH,TTECH LIMITED,ttech-offer-circular-mandatory-offer-12-dec-2024,https://www.jamstockex.com/wp-content/uploads/2024/12/tTech-Offer-Circular-Mandatory-Offer-12-Dec-2024.pdf,13/12/2024 14:13,"Articles,General,Take-over Bid Circular​",inherit,publish,2024,,takeover_bids_and_scheme_of_arrangements,pending,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
TTECH,TTECH LIMITED,ttech-directors-circular-errata-page-24-dec-2024,https://www.jamstockex.com/wp-content/uploads/2024/12/tTech-Directors-Circular-Errata-Page-24-Dec-2024.pdf,23/12/2024 23:01,"Directors' Circular,Articles",inherit,publish,2024,,directors_circular,pending,Yes,company_name - symbol - directors_circular - Posting Date,directors_circular_new
TTECH,TTECH LIMITED,notice-to-shareholders-24-dec-2024,https://www.jamstockex.com/wp-content/uploads/2024/12/Notice-to-Shareholders-24-Dec-2024.pdf,24/12/2024 13:56,"Articles,General,Take-over Bid Circular​",inherit,publish,2024,,takeover_bids_and_scheme_of_arrangements,pending,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
VMIL,VM INVESTMENTS LIMITED,pressrelease-vmil-investment-in-home-choice-may-31-2022,https://www.jamstockex.com/wp-content/uploads/2022/05/PressRelease-VMIL-investment-in-Home-Choice-May-31-2022.pdf,31/5/2022 18:42,Articles,inherit,publish,2022,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
WISYNCO,WISYNCO GROUP LTD ORDINARY SHARES,click-here-to-download,https://www.jamstockex.com/wp-content/uploads/2019/04/Click-here-to-download.pdf,16/4/2019 17:23,"Articles,Other Company News",inherit,publish,2019,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
XFUND,SAGICOR REAL ESTATE X FUND LTD.,sagicor-group-acquisition-of-shares-in-recent-rights-issue,https://www.jamstockex.com/wp-content/uploads/2015/09/Sagicor-Group-acquisition-of-shares-in-recent-Rights-Issue.pdf,4/9/2015 12:20,Articles,inherit,publish,2015,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
XFUND,SAGICOR REAL ESTATE X FUND LTD.,xfund_annual_report_2016,https://www.jamstockex.com/wp-content/uploads/2017/05/XFund_Annual_Report_2016.pdf,5/5/2017 12:43,Annual Reports,inherit,publish,2016,,annual_report,pending,Yes,company_name - symbol - annual_report - Financial Year,annual_report_new
GHL,GUARDIAN HOLDINGS LIMITED,24-04-02-ghl-record-date-ad-2,https://www.jamstockex.com/wp-content/uploads/2025/04/24-04-02-GHL-Record-Date-Ad.pdf,9/4/2025 6:00,Dividend Considerations,inherit,draft,2025,{document_type: Dividend Declaration},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
GHL,GUARDIAN HOLDINGS LIMITED,24-04-02-ghl-record-date-ad-2,https://www.jamstockex.com/wp-content/uploads/2025/04/24-04-02-GHL-Record-Date-Ad.pdf,9/4/2025 6:00,Dividend Considerations,inherit,draft,2025,{document_type: Dividend Declaration},dividend_declaration,success,Yes,company_name - symbol - dividend_declaration - Posting Date,dividend_declaration_new
